Name,Level,School,Spell_Type,Target,Casting_Time,Conc,Ritual,Duration,Range,Components,Scales_with_level,,Origin,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock,Wizard,Other,Professional,Cursed,Feyblood,Web_Description
Geas,5,Enchantment,Charm,1 creature,1 minute,No,No,30 days,60 ft,V,Yes,,PHB,"Beguiler,Desire,Grandeur,Marionettist,Pied piper,Secrets","Yes,Order,Vengeance",Yes,"Yes,Crown",No,"Divine soul,Fiendish,Wishcrafter","Archfey,Crone,Dispater,Hesperia,Storm Lord",Yes,No,"Diplomat,Psychologist",No,Yes,"You place a magical command on a creature that you can see within range, forcing it to carry out some service or refrain from some action or course of activity as you decide. If the creature can understand you, it must succeed on a Wisdom saving throw or become charmed by you for the duration. While the creature is charmed by you, it takes 5d10 psychic damage each time it acts in a manner directly counter to your instructions, but no more than once each day. A creature that can't understand you is unaffected by the spell.<br>&nbsp; You can issue any command you choose, short of an activity that would result in certain death. Should you issue a suicidal command, the spell ends.<br>&nbsp; You can end the spell early by using an action to dismiss it. A remove curse, greater restoration, or wish spell also ends it.<br>&nbsp; <b>At Higher Levels. </b>When you cast this spell using a spell slot of 7th or 8th level, the duration is 1 year. When you cast this spell using a spell slot of 9th level, the spell lasts until it is ended by one of the spells mentioned above."
Gentle Repose,2,Necromancy,"Utility, Death",1 dead creature,Action,No,Yes,10 days,Touch,"V, S, M (a pinch of salt and one copper piece placed on each of the corpse’s eyes, which must remain there for the duration)",No,,PHB,No,"Death,Repose,Time",Spores,"Grave,Tradition",Diabolist,"Autumnal,Divine soul,Time thief","Death,Undying",Yes,No,Cook,Alchemical,No,"You touch a corpse or other remains. For the duration, the target is protected from decay and can’t become undead.<br>&nbsp; The spell also effectively extends the time limit on raising the target from the dead, since days spent under the influence of this spell don’t count against the time limit of spells such as raise dead."
Giant Insect,4,Transmutation,"Summon, Beast",In range,Action,Yes,No,10 minutes,30 ft,"V,S",No,,PHB,Pied piper,"Desert,Nature","Yes,Land - Swamp,Sands",No,No,"Arachnid,Dune child","Hive,Weaver of Lies",No,No,No,Beyond,Yes,"You transform up to ten centipedes, three spiders, five wasps, or one scorpion within range into giant versions of their natural forms for the duration. A centipede becomes a giant centipede, a spider becomes a giant spider, a wasp becomes a giant wasp, and a scorpion becomes a giant scorpion.<br>&nbsp; Each creature obeys your verbal commands, and in combat, they act on your turn each round. The DM has the statistics for these creatures and resolves their actions and movement.<br>&nbsp; A creature remains in its giant size for the duration, until it drops to 0 hit points, or until you use an action to dismiss the effect on it.<br>&nbsp; The DM might allow you to choose different targets. For example, if you transform a bee, its giant version might have the same statistics as a giant wasp."
Glass Storm,8,Conjuration,"Damage, Piercing",Self,Action,Yes,No,1 minute,30 ft,"V, S, M (a shard of glass)",No,,New,Mirrors,Desert,No,No,No,"Autumnal,Dune child,Frozen heart,Stone,Storm","Monstrosity,Storm Lord",Yes,No,No,No,No,"You create extremely powerful winds that surround you, leaving you in the storm’s “eye.” The winds are full of dangerous glass and crystal shards. All creatures within a 30 ft radius must make a Dexterity saving throw each time that they end their turn in the storm. A creature takes 10d6 piercing damage and is blinded for 1 minute on a failed saving throw, or half as much damage and not be blinded on a successful one.<br>&nbsp; Ranged combat is impossible within the storm. Non-metallic armor has its AC reduced by 1 each round it is the storm. Armor that has its AC reduced to 10 is destroyed."
Glibness,8,Transmutation,Charm,Self,Action,No,No,1 hour,Self,V,No,,PHB,Yes,"Celebration,Charm,Leadership,Trickery",No,No,No,Yes,"Archfey,Blackthorn Grove,Crone,Fallen Exile,Hesperia,Levistus,Pharaoh,Seducer,Vampire,Weaver of Lies",No,No,Diplomat,No,Boggart,"Until the spell ends, when you make a Charisma check, you can replace the number you roll with a 15. Additionally, no matter what you say, magic that would determine if you are telling the truth indicates that you are being truthful."
Glimmer,0,Illusion,Debuff,Creatures in range,Action,No,No,Instantaneous,30 ft,"V, S, F (a coin)",No,,"New,2018-10-21",Yes,Trickery,No,No,No,"Draconic,Fiendish,Relicker,Star touched,Wild,Wishcrafter",No,Yes,No,Diplomat,No,No,"You flick a coin into the air and make it sparkle with shimmering light, drawing the attention of all creatures within 30 feet of you. Each creature must make a Wisdom saving throw. A creature that is in combat has advantage on this saving throw. If a creature fails, it suffers disadvantage on ability checks until the start of your next turn."
Globe of Invulnerability,6,Abjuration,"Protection, Magic",Self,Action,Yes,No,1 minute,10 ft,"V, S, M (a glass or crystal bead that shatters when the spell ends)",Yes,,PHB,"Grandeur,Pathfinder chronicler,Valor","Arcana,Protection,Strength",No,No,No,"Draconic,Incantatrix,Fiendish,Oceanic,Relicker,Stone,Wishcrafter","Ancient Dragon,Pharaoh",Yes,No,"Archaeologist,Diplomat,Smith",No,Nereid,"An immobile, faintly shimmering barrier springs into existence in a 10-foot radius around you and remains for the duration.<br>&nbsp; Any spell of 5th level or lower cast from outside the barrier can't affect creatures or objects within it, even if the spell is cast using a higher level spell slot. Such a spell can target creatures and objects within the barrier, but the spell has no effect on them. Similarly, the area within the barrier is excluded from the areas affected by such spells.<br>&nbsp; <b>At Higher Levels. </b>When you cast this spell using a spell slot of 7th level or higher, the barrier blocks spells of one level higher for each slot level above 6th."
Glyph of Warding,3,Abjuration,Guarding,One object,1 hour,No,No,Permanent,Touch,"V, S, M (incense and powdered diamond worth at least 200 gp, which the spell consumes)",Yes,,PHB,Calligraphy,No,No,No,No,Yes,No,Yes,No,No,No,No,"When you cast this spell, you inscribe a glyph that harms other creatures, either upon a surface (such as a table or a section of floor or wall) or within an object that can be closed (such as a book, a scroll, or a treasure chest) to conceal the glyph. If you choose a surface, the glyph can cover an area of the surface no larger than 10 feet in diameter. If you choose an object, that object must remain in its place; if the object is moved more than 10 feet from where you cast this spell, the glyph is broken, and the spell ends without being triggered.<br>&nbsp; The glyph is nearly invisible and requires a successful Intelligence (Investigation) check against your spell save DC to be found.<br>&nbsp; You decide what triggers the glyph when you cast the spell. For glyphs inscribed on a surface, the most typical triggers include touching or standing on the glyph, removing another object covering the glyph, approaching within a certain distance of the glyph, or manipulating the object on which the glyph is inscribed. For glyphs inscribed within an object, the most common triggers include opening that object, approaching within a certain distance of the object, or seeing or reading the glyph. Once a glyph is triggered, this spell ends.<br>&nbsp; You can further refine the trigger so the spell activates only under certain circumstances or according to physical characteristics (such as height or weight), creature kind (for example, the ward could be set to affect aberrations or drow), or alignment. You can also set conditions for creatures that don’t trigger the glyph, such as those who say a certain password.<br>&nbsp; When you inscribe the glyph, choose explosive runes or a spell glyph.<br>&nbsp; <b>Explosive Runes. </b>When triggered, the glyph erupts with magical energy in a 20-foot-radius sphere centered on the glyph. The sphere spreads around corners. Each creature in the area must make a Dexterity saving throw. A creature takes 5d8 acid, cold, fire, lightning, or thunder damage on a failed saving throw (your choice when you create the glyph), or half as much damage on a successful one.<br>&nbsp; <b>Spell Glyph. </b>You can store a prepared spell of 3rd level or lower in the glyph by casting it as part of creating the glyph. The spell must target a single creature or an area. The spell being stored has no immediate effect when cast in this way. When the glyph is triggered, the stored spell is cast. If the spell has a target, it targets the creature that triggered the glyph. If the spell affects an area, the area is centered on that creature. If the spell summons hostile creatures or creates harmful objects or traps, they appear as close as possible to the intruder and attack it. If the spell requires concentration, it lasts until the end of its full duration.<br>&nbsp; <b>At Higher Levels. </b>When you cast this spell using a spell slot of 4th level or higher, the damage of an explosive runes glyph increases by 1d8 for each slot level above 3rd. If you create a spell glyph, you can store any spell of up to the same level as the slot you use for the glyph of warding."
Goodberry,1,Transmutation,Healing,Self,Action,No,No,Instantaneous,Self,"V, S, M (a sprig of mistletoe)",No,,PHB,No,Agriculture,Yes,No,Yes,Autumnal,Blackthorn Grove,No,No,"Cook,Forester",No,Yes,"Up to ten berries appear in your hand and are infused with magic for the duration. A creature can use its action to eat one berry. Eating a berry restores 1 hit point, and the berry provides enough nourishment to sustain a creature for one day.<br>&nbsp; The berries lose their potency if they have not been consumed within 24 hours of the casting of this spell."
Grease,1,Conjuration,Debuff,Radius 10 ft,Action,No,No,1 minute,60 ft,"V, S, M (a bit of pork rind or butter)",No,,PHB,No,Agriculture,No,Tomorrow,No,"Aberrant,Oceanic,Oozemaster,Wild","Ancient Toad,Jubilex",Yes,No,No,Alchemical,Yes,"Slick grease covers the ground in a 10-foot square centered on a point within range and turns it into difficult terrain for the duration.<br>&nbsp; When the grease appears, each creature standing in its area must succeed on a Dexterity saving throw or fall prone. A creature that enters the area or ends its turn there must also succeed on a Dexterity saving throw or fall prone."
Great Shout,8,Evocation,"Damage, Thunder",Cone 60 ft,Action,No,No,Instantaneous,60 ft,V,No,,New,Yes,Survival,No,No,No,"Draconic,Ethereal","Ancient Dragon,Ancient Toad,Ghost,Monstrosity",No,No,No,No,No,"You emit an ear-splitting yell that stuns, deafens and damages creatures in a 60' cone extending from you. Each creature within the cone must make a Constitution saving throw, suffering 10d8 thunder damage, being stunned for 1d4 rounds and being deafened for 2d6 rounds on a failure. A creature that makes its save takes half damage and is deafened for 1d4 rounds. Unattended objects are also damaged, and creatures and objects made of glass, crystal or other similar brittle material have vulnerability to the damage."
Greater Invisibility,4,Illusion,"Protection, Detection",One creature,Action,Yes,No,1 minute,Touch,"V, S",No,,PHB,"Beguiler,Glamour,Masks,Mirrors",Trickery,No,ElderSign,"Banshee,Gloomstalker",Ethereal,No,Yes,No,No,No,"Boggart,Sidhe",You or a creature you touch becomes invisible until the spell ends. Anything the target is wearing or carrying is invisible as long as it is on the target’s person.
Greater Restoration,5,Abjuration,"Healing, Condition",One creature,Action,No,No,Instantaneous,Touch,"V, S, M (diamond dust worth at least 100 gp, which the spell consumes)",No,,PHB,Yes,"Yes,Life","Yes,Land - Grassland","Bastion,Festivity",Herbalist,"Divine soul,Wishcrafter",No,No,No,"Archaeologist,Cook,Diplomat",Yes,No,"You imbue a creature you touch with positive energy to undo a debilitating effect. You can reduce the target’s exhaustion level by one, or end one of the following effects on the target:<br>&nbsp; • One effect that charmed or petrified the target<br>&nbsp; • One curse, including the target’s attunement to a cursed magic item<br>&nbsp; • Any reduction to one of the target’s ability scores<br>&nbsp; • One effect reducing the target’s hit point maximum"
Guardian of Faith,4,Conjuration,"Damage, Radiant",Self,Action,No,No,8 hours,30 ft,V,No,,PHB,Faith,"Yes,Order,Protection,Survival",No,"Crown,Devotion,Radiance,Tradition",No,Divine soul,No,No,No,No,Chosen,No,"A Large spectral guardian appears and hovers for the duration in an unoccupied space of your choice that you can see within range. The guardian occupies that space and is indistinct except for a gleaming sword and shield emblazoned with the symbol of your deity.<br>&nbsp; Any creature hostile to you that moves to a space within 10 feet of the guardian for the first time on a turn must succeed on a Dexterity saving throw. The creature takes 20 radiant damage on a failed save, or half as much damage on a successful one. The guardian vanishes when it has dealt a total of 60 damage."
Guardian of Nature,4,Transmutation,Change,Self,Bonus action,Yes,No,1 minute,Self,V,No,,Xanathar,No,Nature,"Yes,Land - Forest",No,Yes,Autumnal,"Ancient Toad,Crone",No,No,Forester,No,Sprig,"A nature spirit answers your call and transforms you into a powerful guardian. The transformation lasts until the spell ends. You choose one of the following forms to assume: Primal Beast or Great Tree.<br><b>Primal Beast</b>. Bestial fur covers your body, your facial features become feral, and you gain the following benefits:<ul><li>Your walking speed increases by 10 feet.<li>You gain darkvision with a range of 120 feet.<li>You make Strength-based attack rolls with advantage.<li>Your melee weapon attacks deal an extra 1d6 force damage on a hit.</ul><b>Great Tree</b>. Your skin appears barky, leaves sprout from your hair, and you gain the following benefits:<ul><li>You gain 10 temporary hit points.<li>You make Constitution saving throws with advantage.<li>You make Dexterity- and Wisdom-based attack rolls with advantage.<li>While you are on the ground, the ground within 15 feet of you is difficult terrain for your enemies. </ul><p><b>Empowered casting:</b><br>By spending a higher level spell slot you can create the following effects:<br>&nbsp; ♦ If you cast this spell using a 5th level slot, the duration increases to 1 hour.<br>&nbsp; ♦ If you cast this spell using a 5th level slot, you can take on some attributes of plant creatures: your skin becomes like bark and your hair like leaves. Until the spell ends, your base AC becomes 17, you gain resistance to psychic and poison damage, you are immune to stunning, and you have advantage on saving throws against poison. "
Guards and Wards,6,Abjuration,Guarding,Area of Effect,10 minutes,No,No,1 day,Touch,"V, S, M (burning incense, a small measure of brimstone and oil, a knotted string, a small amount of umber hulk blood, and a small silver rod worth at least 10 gp)",No,,PHB,"Calligraphy,Secrets","Arcana,Forge,Protection,Survival,Dwarven rune",No,No,No,"Arachnid,Draconic,Fiendish,Relicker,Stone,Wishcrafter","Ancient Dragon,Eternal Citadel,Pharaoh",Yes,No,No,No,No,"You create a ward that protects up to 2,500 square feet of floor space (an area 50 feet square, or one hundred 5-foot squares or twenty-five 10-foot squares). The warded area can be up to 20 feet tall, and shaped as you desire. You can ward several stories of a stronghold by dividing the area among them, as long as you can walk into each contiguous area while you are casting the spell. When you cast this spell, you can specify individuals that are unaffected by any or all of the effects that you choose. You can also specify a password that, when spoken aloud, makes the speaker immune to these effects.<br>&nbsp; Guards and wards creates the following effects within the warded area.<br>&nbsp; <b>Corridors.</b> Fog fills all the warded corridors, making them heavily obscured. In addition, at each intersection or branching passage offering a choice of direction, there is a 50 percent chance that a creature other than you will believe it is going in the opposite direction from the one it chooses.<br>&nbsp; <b>Doors.</b> All doors in the warded area are magically locked, as if sealed by an <i>arcane lock</i> spell. In addition, you can cover up to ten doors with an illusion (equivalent to the illusory object function of the <i>minor illusion</i> spell) to make them appear as plain sections of wall.<br>&nbsp; <b>Stairs.</b> Webs fill all stairs in the warded area from top to bottom, as the <i>web</i> spell. These strands regrow in 10 minutes if they are burned or torn away while guards and wards lasts.<br>&nbsp; <b>Other Spell Effect.</b> You can place your choice of one of the following magical effects within the warded area of the stronghold.<br>&nbsp; • Place dancing lights in four corridors. You can desig­ nate a simple program that the lights repeat as long as guards and wards lasts.<br>&nbsp; • Place <i>magic mouth</i> in two locations.<br>&nbsp; • Place <i>stinking cloud</i> in two locations. The vapors appear in the places you designate; they return within 10 minutes if dispersed by wind while guards and wards lasts.<br>&nbsp; • Place a constant <i>gust of wind</i> in one corridor or room.<br>&nbsp; • Place a <i>suggestion</i> in one location. You select an area of up to 5 feet square, and any creature that enters or passes through the area receives the suggestion mentally.<br>&nbsp; The whole warded area radiates magic. A dispel magic cast on a specific effect, if successful, removes only that effect.<br>&nbsp; You can create a permanently guarded and warded structure by casting this spell there every day for one year."
Guidance,0,Divination,"Buff, Ability",One or more creatures,Action,Yes,No,1 minute,Touch,"V,S",Yes,,PHB,No,Yes,Yes,No,No,"Autumnal,Divine soul,Wishcrafter","Ancient Toad,Archfey,Cosmic Machine,Emergent Mind,Fallen Exile",No,No,Yes,Chosen,"Yes,Pooka","You touch one willing creature. Once before the spell ends, the target can roll a d4 and add the number rolled to one ability check of its choice. It can roll the die before or after making the ability check. The spell then ends.<p><b>At Higher Levels</b><br>The number of targets per casting double when you reach 5th level (2 targets), 11th level (4 targets), and 17th level (8 targets)."
Guiding Bolt,1,Evocation,"Attack, Radiant",1 target,Action,No,No,1 round,120 ft,"V,S",Yes,,PHB,No,Yes,No,Lyan,No,"Divine soul,Star touched,Wishcrafter","Cosmic Machine,Fallen Exile",No,No,No,No,Sidhe,"A flash of light streaks toward a creature of your choice within range. Make a ranged spell attack against the target. On a hit, the target takes 4d6 radiant damage, and the next attack roll made against this target before the end of your next turn has advantage, thanks to the mystical dim light glittering on the target until then.<br>&nbsp; <b>At Higher Levels. </b>When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st."
Hail of Thorns,1,Conjuration,"Attack, Weapon, Piercing, Plant",1 or more targets,Bonus action,Yes,No,1 minute,Self,V,Yes,,PHB,No,No,No,No,Yes,No,"Blackthorn Grove,Oberon",No,No,No,No,Sprig,"The next time you hit a creature with a ranged weapon attack before the spell ends, this spell creates a rain of thorns that sprouts from your ranged weapon or ammunition. In addition to the normal effect of the attack, the target of the attack and each creature within 5 feet of it must make a Dexterity saving throw. A creature takes 1d10 piercing damage on a failed save, or half as much damage on a successful one.<br>&nbsp; <b>At Higher Levels. </b>If you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d10 for each slot level above 1st (to a maximum of 6d10)."
Hallow,5,Evocation,Guarding,Radius 60 ft,24 hours,No,No,permanent,Touch,"V, S, M (herbs, oils, and incense worth at least 1,000 gp, which the spell consumes)",No,,PHB,No,"Yes,Fate,Protection,Repose",No,"Festivity,Grave,Rebirth",Fey hunter,Divine soul,No,No,No,Candlemaker,No,No,"You touch a point and infuse an area around it with holy (or unholy) power. The area can have a radius up to 60 feet, and the spell fails if the radius includes an area already under the effect a hallow spell. The affected area is subject to the following effects.<br>&nbsp; First, celestials, elementals, fey, fiends, and undead can’t enter the area, nor can such creatures charm, frighten, or possess creatures within it. Any creature charmed, frightened, or possessed by such a creature is no longer charmed, frightened, or possessed upon entering the area. You can exclude one or more of those types of creatures from this effect.<br>&nbsp; Second, you can bind an extra effect to the area. Choose the effect from the following list, or choose an effect offered by the DM. Some of these effects apply to creatures in the area; you can designate whether the effect applies to all creatures, creatures that follow a specific deity or leader, or creatures of a specific sort, such as ores or trolls. When a creature that would be affected enters the spell’s area for the first time on a turn or starts its turn there, it can make a Charisma saving throw. On a success, the creature ignores the extra effect until it leaves the area.<br>&nbsp; <b>Courage. </b>Affected creatures can’t be frightened while in the area.<br>&nbsp; <b>Darkness. </b>Darkness fills the area. Normal light, as well as magical light created by spells of a lower level than the slot you used to cast this spell, can’t illuminate the area.<br>&nbsp; <b>Daylight. </b>Bright light fills the area. Magical darkness created by spells of a lower level than the slot you used to cast this spell can’t extinguish the light.<br>&nbsp; <b>Energy Protection. </b>Affected creatures in the area have resistance to one damage type of your choice, except for bludgeoning, piercing, or slashing.<br>&nbsp; <b>Energy Vulnerability. </b>Affected creatures in the area have vulnerability to one damage type of your choice, except for bludgeoning, piercing, or slashing.<br>&nbsp; <b>Everlasting Rest. </b>Dead bodies interred in the area can’t be turned into undead.<br>&nbsp; <b>Extradimensional Interference.</b> Affected creatures can’t move or travel using teleportation or by extradimensional or interplanar means.<br>&nbsp; <b>Fear. </b>Affected creatures are frightened while in the area.<br>&nbsp; <b>Silence.</b> No sound can emanate from within the area, and no sound can reach into it.<br>&nbsp; <b>Tongues. </b>Affected creatures can communicate with any other creature in the area, even if they don’t share a common language."
Hallucinatory Terrain,4,Illusion,"Utility, Illusion",Radius 150 ft,10 minutes,No,No,1 day,300 ft,"V, S, M (a stone, a twig, and a bit of green plant)",Yes,,"New,2018-10-21",Glamour,"Illusion,Survival","Yes,Land - Desert,Sands",No,No,"Aberrant,Arachnid,Autumnal,Blighted,Draconic,Dune child,Ethereal","Ancient Toad,Archfey,Crone,Weaver of Lies",Yes,No,"Candlemaker,Forester",Yes,Yes,"You make natural terrain in a 150-foot cube in range look, sound, and smell like some other sort of natural terrain. Thus, open fields or a road can be made to resemble a swamp, hill, crevasse, or some other difficult or impassable terrain. A pond can be made to seem like a grassy meadow, a precipice like a gentle slope, or a rock-strewn gully like a wide and smooth road. Manufactured structures, equipment, and creatures within the area aren’t changed in appearance. The tactile characteristics of the terrain are unchanged, so creatures entering the area are likely to see through the illusion. If the difference isn’t obvious by touch, a creature carefully examining the illusion can attempt an Intelligence (Investigation) check against your spell save DC to disbelieve it. A creature who discerns the illusion for what it is, sees it as a vague image superimposed on the terrain.<p><b>Empowered casting:</b><br><br>&nbsp; ♦ If you cast the spell at level 7 or higher, the duration increases to 10 days and  the area affected to 1 square mile.<br>&nbsp; In addition, you can alter the appearance of structures, or add them where none are present. At this level the illusion includes audible, visual, tactile, and olfactory elements, so it can turn clear ground into difficult terrain (or vice versa) or otherwise impede movement through the area. Any piece of the illusory terrain (such as a rock or stick) that is removed from the spell’s area disappears immediately. Creatures with truesight can see through the illusion to the terrain’s true form; however, all other elements of the illusion remain, so while the creature is aware of the illusion’s presence, the creature can still physically interact with the illusion."
Halo of Rejuvenation,2,Evocation,Healing,1 target,Action,Yes,No,1 minute,20 ft,"V,S",Yes,,"New,2016-05-10",Portraiture,Yes,No,No,No,No,Fallen Exile,No,No,No,No,No,"A small circle of blue light appears over the head of a creature of your choice within range and lasts for the duration. When the halo of rejuvenation first appears, that creature regains a number of hit points equal to 1d6 + your spellcasting ability modifier. As a secondary effect, the target regains an additional 1d6 hit points at the end of each of its turns.<br>As a bonus action, you can move the halo of rejuvenation to another creature, which must be within 20 feet of the first target. If you do so, the secondary effect moves to the new target. This spell has no effect on undead or constructs.<br><b>At Higher Levels</b>. When you cast this spell using a spell slot of 3rd level or higher, the initial healing increases by 1d6 for each slot level above 2nd."
Hand of Wrath,0,Evocation,"Attack, Weapon, Radiant",Your weapon,Bonus action,Yes,No,1 minute,Touch,V,Yes,,New,Faith,Yes,No,No,No,Divine soul,No,No,No,No,No,No,"For the next melee weapon attack with your deity's chosen weapon, you deal an extra 1d4 radiant damage on a hit and the target is branded with a glowing mark of your deity's wrath, which grants you advantage on your next attack against the target. A target can make a Constitution save at the end of each of his turns to end the spell.<br>&nbsp; <b>At Higher Levels: </b>This spell's damage increases by 1d4 when you reach 5th level, 11th level, and 17th level."
Hard Water,1,Transmutation,"Utility, Water",Radius 2 ft,Action,No,No,10 minutes,Touch,"V, S",Yes,,"New,2016-08-05",No,No,Yes,No,Yes,Oceanic,"Ancient Toad,Dagon",Yes,No,No,Alchemical,Nereid,"You transform normal water into a slightly damp, transparent, rock-hard substance. The water can be formed it into a simple shape that suits your purpose, although you will be incapable of fine detail unless you are proficient in sculpturing. So, for example, you could shape the water into a cup, club or a short sword.<p><b>Empowered casting:</b><br>For each spell slot you spend when casting this spell, you can create the following effects:<br>&nbsp; ♦ Create one additional item.<br>&nbsp; ♦ Increase the duration to 1 hour.<br>&nbsp; ♦ If you cast the spell at level 3 or higher, instead of shaping water, you can solidify up to 40 square feet around a point within 60 ft, to a maximum depth of 5 feet. Creatures imbedded in the water at the time (such as fish) are held stasis until the spell ends, at which point they are released, unharmed."
Harm,6,Necromancy,"Damage, Necrotic",1 target,Action,No,No,Instantaneous,60 ft,"V,S",No,,PHB,No,"Death,Fate,Nature",No,No,No,"Dread,Plaguebringer",Hive,No,No,No,No,No,"You unleash a virulent disease on a creature that you can see within range. The target must make a Constitution saving throw. On a failed save, it takes 14d6 necrotic damage, or half as much damage on a successful save. The damage can’t reduce the target’s hit points below 1. If the target fails the saving throw, its hit point maximum is reduced for 1 hour by an amount equal to the necrotic damage it took. Any effect that removes a disease allows a creature’s hit point maximum to return to normal before that time passes."
Harrow,0,Necromancy,"Damage, Psychic",One creature,Action,No,No,Instantaneous,60 ft,"V, S, M",Yes,,New,No,Yes,No,No,No,Divine soul,No,No,No,No,No,No,"With a word and a gesture, you scour the soul of your enemy, for the gods have given you the power to punish as well as redeem. Your target makes a Wisdom saving throw; if it has protection from evil and good active, it makes this saving throw with advantage. If it fails this saving throw, it suffers 1d8 psychic damage and has a -1d4 penalty to its next attack roll, ability check, or saving throw before the end of its next turn. If it succeeds, the spell has no effect. <br>&nbsp; The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8) and 17th level (4d8)."
Haste,1,Transmutation,Move,Self,Action,Yes,No,1 minute,Self,"V,S",Yes,,"New,2018-02-25",Yes,Time,No,No,"Yes,Freerunner","Arachnid,Time thief,Wishcrafter","Monstrosity,Oberon,Shadowcat,Storm Lord,Vampire",Yes,Barbarian - Bloodrager,No,No,Yes,"This spell allows you to move at an incredible pace. When you cast this spell, and then as a bonus action on each of your turns until the spell ends, you can take the Dash action.<br>When you cast this spell you can instead choose to release all speed at once. Until the end of your turn, your speed and the distance you can make with a long jump double, your AC increases by +2, and when hit a creature with a melee weapon attack, the attack deals an additional 1d6 damage. At the end of your turn, the spell ends and your legs ache. Until the end of your next turn, your movement speed is halved.<p><b>Empowered casting:</b><br>By spending a higher level spell slot when casting this spell, you can create the following effects:<br>&nbsp; ♦ If you cast the spell using a 3rd level spell slot, you can give a willing creature within 30 ft incredible speed and reflexes for 1 minute. Until the spell ends, the target’s speed is doubled, it gains a +2 bonus to AC, it has advantage on Dexterity saving throws, and it gains an additional action on each of its turns. That action can be used only to take the Attack (one weapon attack only), Dash, Disengage, Hide, or Use an Object action. When the spell ends, the target can’t move or take actions until after its next turn, as a wave of lethargy sweeps over it.<br>&nbsp; ♦ For each additional spell slot level you add when you cast this spell, you can target an additional creature.<br>&nbsp; ♦ If you increase the spell slot level by 1 when you cast this spell, you can use your bonus action for the following actions instead of a Dash:<br>&nbsp;&nbsp;&nbsp;&nbsp;• Extricate. Take the Disengage action, and add half your spellcasting ability modifier, rounded up (minimum: 1) to AC and Dexterity saving throws until the start of your next turn.<br>&nbsp;&nbsp;&nbsp;&nbsp;• Swift Hands. Make a number of object interactions or Dexterity ability checks equal to half your spellcasting ability modifier (min 1).<br>&nbsp;&nbsp;&nbsp;&nbsp;• Quickened Senses. Make a number of ability checks equal to half your spellcasting ability modifier (min 1), choosing from Intelligence (Arcana, Investigation, Nature), and Wisdom (Insight, Perception, Survival)."
Heal,6,Evocation,Healing,1 target,Action,No,No,Instantaneous,60 ft,"V,S",Yes,,PHB,No,"Yes,Life",Yes,No,No,Divine soul,No,No,No,No,No,Sylph,"Choose a creature that you can see within range. A surge of positive energy washes through the creature, causing it to regain 70 hit points. This spell also ends blindness, deafness, and any diseases affecting the target. This spell has no effect on constructs or undead. At Higher Levels. When you cast this spell using a spell slot of 7th level or higher, the amount of healing increases by 10 for each slot level above 6th."
Healing Spirit,2,Conjuration,Healing,Cube 5 ft,Bonus action,Yes,No,1 minute,60 ft,"V, S",Yes,,Xanathar,Tales,No,Yes,No,Yes,No,No,No,No,Forester,No,No,"You call forth a nature spirit to soothe the wounded. The intangible spirit appears in a space that is a 5-foot cube you can see within range. The spirit looks like a transparent beast or fey (your choice).<br>Until the spell ends, whenever you or a creature you can see moves into the spirit’s space for the first time on a turn or starts its turn there, you can cause the spirit to restore 1d6 hit points to that creature (no action required). The spirit can’t heal constructs or undead. The spirit can heal a number of times equal to 1 + your spellcasting ability modifier (minimum of twice). After healing that number of times, the spirit disappears.<br>As a bonus action on your turn, you can move the spirit up to 30 feet to a space you can see.<br><b>At Higher Levels</b>. When you cast this spell using a spell slot of 3rd level or higher, the healing increases by 1d6 for each slot level above 2nd. "
Healing Word,1,Evocation,Healing,1 target,Bonus action,No,No,Instantaneous,60 ft,V,Yes,,PHB,Yes,Yes,Yes,Martyrdom,No,No,No,No,No,Diplomat,No,Yes,"A creature of your choice that you can see within range regains hit points equal to 1d4 + your spellcasting ability modifier. This spell has no effect on undead or constructs.<br>&nbsp; <b>At Higher Levels. </b>When you cast this spell using a spell slot of 2nd level or higher, the healing increases by 1d4 for each slot level above 1st."
Heat Metal,2,Transmutation,"Damage, Fire",1 object,Action,Yes,No,1 minute,60 ft,"V, S, M (a piece of iron and a flame)",Yes,,PHB,No,Forge,Yes,Tomorrow,No,Dune child,"Cosmic Machine,Dispater",No,No,Smith,No,No,"Choose a manufactured metal object, such as a metal weapon or a suit of heavy or medium metal armor, that you can see within range. You cause the object to glow red-hot. Any creature in physical contact with the object takes 2d8 fire damage when you cast the spell. Until the spell ends, you can use a bonus action on each of your subsequent turns to cause this damage again.<br>&nbsp; If a creature is holding or wearing the object and takes the damage from it, the creature must succeed on a Constitution saving throw or drop the object if it can. If it doesn’t drop the object, it has disadvantage on attack rolls and ability checks until the start of your next turn. At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for each slot level above 2nd."
